Algorithm,policy,alpha,gamma,energy_min,energy_max,energy_avg,energy_stdev,migrations_min,migrations_max,migrations_avg,migrations_stdev,SLA_min,SLA_max,SLA_avg,SLA_stdev
Qlearning,epsilon,0.6,0.2,104.89,192.78,141.36193548387098,27.96594779600778,10474,23223,16409.25806451613,3873.083827027605,0.00568,0.00758,0.006919999999999998,0.0005501333171756339
Qlearning,epsilon,0.6,0.4,104.99,192.83,141.30483870967745,28.011216428538976,10514,23237,16399.709677419356,3950.573133049165,0.00586,0.00767,0.006913225806451613,0.0005227962451840054
Qlearning,epsilon,0.6,0.6,105.02,192.87,141.4890322580645,28.07781109165963,10357,23125,16575.064516129034,3996.992885787046,0.00565,0.00797,0.006969032258064517,0.0005592694928130783
Qlearning,epsilon,0.6,0.8,105.21,193.48,141.54967741935485,28.18025638443471,10995,23769,16577.0,3981.7014621055323,0.00607,0.00773,0.006945806451612904,0.0005215091830035108
Qlearning,epsilon,0.6,0.9,105.37,193.23,141.68645161290323,28.033450084781112,10963,23703,16718.774193548386,3955.276203669199,0.00595,0.00778,0.007009032258064515,0.0004819429761476605
Qlearning,epsilon,0.6,1.0,105.44,192.71,141.7248387096774,27.969116047403393,10975,23213,16760.09677419355,3897.932010308703,0.00593,0.00775,0.00701741935483871,0.0005227871953413771
Qlearning,epsilon,0.8,0.2,104.91,192.58,141.34870967741938,28.046093220736406,10510,22911,16362.806451612903,3934.5313013483983,0.00577,0.00768,0.006888387096774193,0.0005149957719838974
Qlearning,epsilon,0.8,0.4,104.75,192.75,141.36870967741936,28.00005937397699,10544,23168,16420.645161290322,3892.8871338068793,0.00597,0.00776,0.0069067741935483875,0.0005002291947815801
Qlearning,epsilon,0.8,0.6,104.91,192.58,141.4290322580645,28.057023761717698,10721,23377,16549.354838709678,3907.735759988446,0.00591,0.0079,0.00695741935483871,0.0005305655331306743
Qlearning,epsilon,0.8,0.8,105.13,193.58,141.67225806451611,28.166158264801563,10872,23435,16705.90322580645,4012.9529638811596,0.00585,0.00772,0.006975483870967742,0.0005427266881815525
Qlearning,epsilon,0.8,0.9,104.93,193.02,141.7364516129032,28.08564194843896,10485,23388,16814.322580645163,4069.105596951225,0.00571,0.00775,0.007028709677419356,0.0005319382290923379
Qlearning,epsilon,0.8,1.0,105.21,193.68,141.8948387096774,28.136069124994194,10959,24166,16919.064516129034,4075.4320992624735,0.00596,0.0078,0.0070658064516129025,0.0005065357782266283
Qlearning,epsilon,0.9,0.2,104.98,193.0,141.37032258064514,28.12644052416053,10544,23413,16435.90322580645,4028.6153316397163,0.00581,0.00777,0.006911612903225807,0.0005414431135043555
Qlearning,epsilon,0.9,0.4,105.1,192.75,141.4148387096774,28.015019646726138,10828,23023,16430.935483870966,3854.3581907193825,0.00582,0.00773,0.006911935483870968,0.0004945935661721903
Qlearning,epsilon,0.9,0.6,105.02,193.19,141.53129032258065,28.016580179355163,10936,23417,16565.225806451614,3888.6681585488654,0.00586,0.0078,0.006950967741935483,0.0005343928320297075
Qlearning,epsilon,0.9,0.8,104.67,193.35,141.72032258064516,28.21363943011382,10645,23868,16723.09677419355,4100.91200714214,0.00566,0.00774,0.006991290322580646,0.0005615558264647952
Qlearning,epsilon,0.9,0.9,105.39,193.8,141.79677419354837,28.16609337330931,11131,23708,16817.387096774193,4003.8925616406455,0.00608,0.00779,0.007029677419354838,0.00047909278065226394
Qlearning,epsilon,0.9,1.0,105.1,193.47,142.10387096774195,28.219488027179533,10834,24067,17026.064516129034,4148.118729701324,0.00598,0.0081,0.007131935483870969,0.000554913923384151
Qlearning,epsilon,1.0,0.2,104.98,192.41,141.34322580645158,27.94632264265393,10698,23256,16421.41935483871,3931.892019322619,0.0059,0.00788,0.006922580645161289,0.0005138480173613951
Qlearning,epsilon,1.0,0.4,105.09,192.6,141.3467741935484,28.017212731592554,10865,23386,16540.064516129034,3969.46530350108,0.00597,0.00761,0.006969354838709677,0.0005124251846781862
Qlearning,epsilon,1.0,0.6,105.14,192.73,141.56645161290325,27.997749617708816,10507,23044,16549.064516129034,3897.395463088,0.00587,0.00802,0.0069383870967741935,0.0005218498939618143
