Algorithm,policy,alpha,gamma,energy_min,energy_max,energy_avg,energy_stdev,migrations_min,migrations_max,migrations_avg,migrations_stdev,SLA_min,SLA_max,SLA_avg,SLA_stdev
Qlearning,epsilon,0.6,1.0,114.57,221.88,160.45774193548385,32.216822801105785,17505,36374,26136.16129032258,5636.063822070472,0.00747,0.00907,0.007794838709677419,0.00035182259703570246
Qlearning,epsilon,0.8,0.2,105.58,193.22,142.05935483870965,28.074977700850024,10929,23604,17144.774193548386,4064.7292054918607,0.00603,0.00799,0.007074193548387097,0.0004925090469121583
Qlearning,epsilon,0.8,0.4,105.62,194.48,142.42129032258063,28.312789188154934,11331,25118,17675.064516129034,4262.76775452666,0.00606,0.00809,0.007146774193548386,0.000545896126241212
Qlearning,epsilon,0.8,0.6,105.91,195.27,143.03806451612903,28.423174983260267,12170,26100,18496.451612903227,4414.485586027812,0.00639,0.00847,0.007311935483870968,0.0005047403250176517
Qlearning,epsilon,0.8,0.8,107.12,197.06,144.49096774193546,28.634069376046742,12951,28024,19733.451612903227,4695.273047358089,0.00662,0.00847,0.007591290322580646,0.0004666957748218417
Qlearning,epsilon,0.8,0.9,107.21,200.44,145.57322580645163,28.993633138684864,13003,30060,20508.064516129034,5002.15155665029,0.00655,0.00893,0.007806129032258065,0.0005294316286947406
Qlearning,epsilon,0.8,1.0,114.62,217.45,158.33129032258063,31.96266704995433,17134,35716,25572.83870967742,5740.341848686797,0.0077,0.00943,0.00812290322580645,0.0004060147250891859
Qlearning,epsilon,0.9,0.2,105.32,194.02,142.17774193548385,28.166776138999584,10603,24652,17216.225806451614,4123.53079055379,0.00586,0.00799,0.007167096774193548,0.0004914752862446365
Qlearning,epsilon,0.9,0.4,105.35,194.03,142.3967741935484,28.2177787204092,11673,25065,17655.83870967742,4232.937869429648,0.0062,0.00792,0.007205483870967743,0.0004718180349080736
Qlearning,epsilon,0.9,0.6,106.14,194.71,142.90645161290323,28.329725324987663,11719,25608,18179.16129032258,4306.287226035704,0.00622,0.00814,0.00726,0.00047638919663093394
Qlearning,epsilon,0.9,0.8,106.6,197.3,144.28064516129032,28.66727913324224,12398,27509,19420.83870967742,4770.232594586098,0.00666,0.00841,0.007556129032258064,0.00046391577841496787
Qlearning,epsilon,0.9,0.9,107.59,198.42,145.2,28.729929458087202,12901,28789,20020.645161290322,4788.3189920777495,0.00681,0.00884,0.00773,0.0004527029931423031
Qlearning,epsilon,0.9,1.0,112.48,210.5,153.7874193548387,30.68480340143874,16616,34749,24281.677419354837,5555.340021919431,0.00776,0.00972,0.00816548387096774,0.00036533855266658626
Qlearning,epsilon,1.0,0.2,105.41,193.54,141.97838709677416,28.122039411201342,11101,24308,17064.645161290322,4086.9805688175798,0.0061,0.00781,0.007071290322580646,0.0005149934752692431
Qlearning,epsilon,1.0,0.4,105.4,193.93,142.21612903225807,28.195385045242112,11071,24454,17377.0,4184.968402907402,0.00578,0.00803,0.007090645161290322,0.000551983909692248
Qlearning,epsilon,1.0,0.6,105.92,194.9,142.70967741935485,28.347900743426134,11533,25862,17931.516129032258,4319.815620069663,0.00583,0.00802,0.007201290322580645,0.0005338023475375123
Qlearning,epsilon,1.0,0.8,106.35,196.69,143.72677419354838,28.60548425122903,12006,27248,18844.83870967742,4665.944835341671,0.00627,0.00824,0.007383225806451614,0.0005459571845042685
Qlearning,epsilon,1.0,0.9,106.84,197.26,144.29290322580644,28.526150014042482,12419,28422,19463.612903225807,4633.504121629901,0.0066,0.00863,0.007598709677419355,0.0005026048277754859
Qlearning,epsilon,1.0,1.0,112.81,210.79,153.73548387096776,30.940860884242777,16205,34079,24101.032258064515,5538.0401496309805,0.00749,0.00952,0.00817,0.0004221374183841089
